name,team,pos,rank
John Konchar,MIN,"SG,SF",726
Gordon Hayward,FA,"SF,PF",727
Jalen Slawson,IND,"SF,PF",728
Olivier-Maxence Prosper,MEM,"SF,PF,C",729
Maxi Kleber,LAL,"PF,C",730
Gabe Vincent,ATL,"PG,SG",731
Xavier Tillman Sr.,POR,"PF,C",732
Jae'Sean Tate,HOU,"SG,SF,PF",733
Tim Hardaway Jr.,MIA,"SG,SF",734
Marcus Morris Sr.,NY,"PF,C",735
Kobe Brown,IND,"SF,PF",736
Chris Duarte,CHI,SG,737
Kira Lewis Jr,FA,"PG,SG",738
Charles Bassey,GS,C,739
Haywood Highsmith,PHO,"SF,PF",740
Bol Bol,PHO,"PF,C",741
MarJon Beauchamp,PHI,"SG,SF",742
Isaiah Livers,PHO,"SF,PF",743
Jalen Pickett,LAC,"PG,SG",744
Emoni Bates,CLE,"SG,SF",745
Richaun Holmes,WAS,C,746
Aleksandar Vezenkov,FA,"SF,PF",747
Lonnie Walker IV,DEN,"SG,SF",748
Cedi Osman,FA,"SF,PF",749
Kevon Looney,LAL,"PF,C",750
Jordan Goodwin,PHO,"PG,SG",751
Gary Payton II,GS,"SG,SF",752
Nassir Little,MIA,"SF,PF",753
Aleksej Pokuševski,FA,"PF,C",754
Ömer Yurtseven,GS,C,755
Orlando Robinson,ORL,C,756
Jordan McLaughlin,SA,"PG,SG",757
Shake Milton,LAL,"PG,SG",758
Alec Burks,MIA,"SG,SF",759
Simone Fontecchio,MIA,"SF,PF",760
Kenrich Williams,OKC,"PF,C",761
Sidy Cissoko,POR,"SF,PF",762
Kessler Edwards,DEN,"PF,C",763
Anthony Gill,WAS,"PF,C",764
