name,team,pos,rank
Zach LaVine,SAC,"PG,SG,SF",170
Terrence Shannon Jr.,MIN,"SG,SF",171
Carlton Carrington,WAS,"PG,SG",172
Kristaps Porzingis,GS,C,173
CJ McCollum,ATL,"PG,SG",174
Ty Jerome,MEM,"PG,SG",175
Anfernee Simons,PHI,"PG,SG",176
DeMar DeRozan,DEN,"SF,PF",177
Aaron Gordon,DEN,"PF,C",178
Jaylon Tyson,CLE,"SG,SF,PF",179
Bennedict Mathurin,NO,"SG,SF",180
Drew Peterson,CHA,,181
Jonathan Kuminga,MIN,"SF,PF",182
Isaiah Stewart,MEM,"PF,C",183
Kyle Filipowski,UTA,"PF,C",184
Walter Clayton Jr.,MEM,"PG,SG",185
Nate Ament,MIL,SF,186
Jayden Quaintance,SA,PF,187
Deandre Ayton,WAS,C,188
Will Riley,WAS,"SF,PF",189
Richie Saunders,MEM,SG,190
Cameron Johnson,DEN,"SF,PF",191
Daniel Gafford,DAL,C,192
Damian Lillard,POR,PG,193
Aaron Nesmith,IND,"SG,SF",194
Theo Maledon,FA,PG,195
Justin Champagnie,WAS,"SF,PF",196
Daeqwon Plowden,SAC,"SG,SF",197
Pete Nance,MIL,"SF,PF",198
Trevon Brazile,DEN,PF,199
Bruce Thornton,HOU,PG,200
Oso Ighodaro,PHO,C,201
Braxton Key,GS,"SF,PF",202
Jordan Nwora,FA,"SF,PF",203
Nique Clifford,SAC,"SG,SF",204
Jamir Watkins,WAS,"SG,SF",205
Leaky Black,WAS,"SF,PF",206
Maliq Brown,SA,SF,207
Jesse Edwards,MIN,C,208
Paul George,BOS,"SF,PF",209
Nickeil Alexander-Walker,ATL,"PG,SG",210
Jordan Poole,NO,"PG,SG",211
Isaiah Evans,MIN,SG,212
Koa Peat,PHO,PF,213
DJ Steward,CHI,,214
Javon Small,MEM,"PG,SG",215
Jeff Dowtin Jr.,PHI,"PG,SG",216
Elijah Harkless,DET,"PG,SG",217
Mohamed Diawara,NY,PF,218
Dylan Cardwell,SAC,"PF,C",219
Khem Birch,FA,C,220
Donte DiVincenzo,MIN,"SG,SF",221
Collin Sexton,LAL,"PG,SG",222
Mouhamed Gueye,ATL,"PF,C",223
Sharife Cooper,WAS,PG,224
Spencer Jones,DEN,"SF,PF",225
Miles Kelly,DAL,,226
Wendell Carter Jr.,ORL,C,227
Grayson Allen,CHA,"SG,SF",228
Robin Lopez,FA,C,229
Victor Oladipo,FA,"PG,SG",230
Kobe Sanders,LAC,"SG,SF",231
Nikola Topic,OKC,PG,232
Tristan Thompson,CLE,C,233
Mark Sears,MIL,,235
Trey Alexander,UTA,"PG,SG",236
Tristan Da Silva,ORL,"SF,PF",237
Tobias Harris,SA,PF,238
Tyrese Proctor,CLE,"PG,SG",239
Hugo González,BOS,"SG,SF",240
Ryan Nembhard,ATL,PG,241
Gabe McGlothan,DEN,,242
Branden Carlson,POR,C,243
Pat Spencer,PHO,"PG,SG",244
Tarris Reed Jr.,SA,C,245
Nate Hinton,HOU,"SG,SF",246
Chris Livingston,CLE,SF,247
Jaden Ivey,CHI,"PG,SG",248
Max Fiedler,PHI,,249
Jazian Gortman,DAL,,250
Ryan Kalkbrenner,CHA,C,251
Taelon Peter,SA,,252
Moussa Cisse,DAL,C,253
Myron Gardner,MIA,"SG,SF",254
Jamaree Bouyea,PHO,PG,255
Antonio Reeves,CHA,"SG,SF",256
Doug McDermott,SAC,"SF,PF",257
Jamison Battle,TOR,"SF,PF",258
Bennett Stirtz,OKC,PG,259
Jaylin Williams,DEN,,260
Jaylen Martin,WAS,,261
Andrew Wiggins,MIA,"SG,SF,PF",262
Thanasis Antetokounmpo,MIL,PF,263
Kobi Simmons,FA,PG,264
Taylor Hendricks,MEM,"PF,C",265
Tristan Vukcevic,WAS,C,266
AJ Johnson,MEM,"PG,SG",267
Tyrese Martin,PHI,"SG,SF",268
Hunter Dickinson,NO,,269
Felix Okpara,WAS,PF,270
Josh Oduro,NO,,271
Tosan Evbuomwan,CHA,"SF,PF",272
Ron Harper Jr.,BOS,SF,273
Christian Koloko,NO,C,274
Brandon Boston Jr,NO,"SF,PF",275
Mac McClung,CHI,"PG,SG",276
Ulrich Chomche,TOR,C,277
Colin Castleton,ORL,"PF,C",278
Ben Saraf,BKN,SG,279
Blake Hinson,UTA,,281
Sergio de Larrea,DAL,PG,282
Tyler Bilodeau,BKN,PF,283
Jordan Miller,LAC,"SG,SF",284
Payton Pritchard,BOS,PG,285
Nikola Vucevic,ORL,C,286
Bruno Fernando,TOR,C,287
Gui Santos,GS,"SF,PF",288
Jaylin Galloway,MIL,,289
Javonte Green,DET,"SG,SF",290
Danny Wolf,BKN,"PF,C",291
Ryan Conwell,MIA,SG,292
Micah Peavy,NO,"SF,PF",293
Jakob Poeltl,TOR,C,294
Gradey Dick,LAC,"SG,SF",295
Isaiah Todd,FA,"PF,C",296
Joe Harris,FA,"SG,SF",297
Otto Porter Jr.,FA,"SG,SF",298
Oscar Tshiebwe,HOU,"PF,C",299
Malcolm Hill,NO,,300
Saben Lee,FA,PG,301
Darius Bazley,FA,PF,302
Cam Spencer,MEM,"PG,SG",303
Alex Karaban,SAC,SF,304
Hunter Sallis,PHI,,305
Anton Watson,NY,,306
Keshad Johnson,MIA,"SF,PF",307
Jalen Bridges,PHO,SF,308
Reece Beekman,BKN,PG,309
Kevin Knox II,GS,"SF,PF",310
