name,team,pos,scorer_id
Noah Cameron,KC,SP,05ycf
Agustin Ramirez,MIA,C,04z6m
Kyle Freeland,COL,SP,03ca3
Otto Lopez,MIA,"2B,SS",04tjl
Shane Smith,CHW,SP,06dqb
Brandon Lowe,TB,2B,03qjy
Willson Contreras,STL,1B,03oh0
Xavier Edwards,MIA,"2B,SS",04n8z
Eduardo Rodriguez,ARI,SP,029si
Seth Lugo,KC,SP,03sef
Spencer Schwellenbach,ATL,SP,05tq1
Christian Walker,HOU,1B,02mw3
J.P. Crawford,SEA,SS,0310z
Ramon Laureano,BAL/SD,OF,03dp8
Kyle Hendricks,LAA,SP,02bwg
Miguel Vargas,CHW,"1B,3B",04ru7
Jackson Holliday,BAL,"2B,SS",05ybv
Kris Bubic,KC,SP,04pmb
Jacob Wilson,ATH,SS,0622t
Luis Severino,ATH,SP,03ab0
Alec Burleson,STL,"1B,OF",05jr0
Matt Chapman,SF,3B,03d6s
Aroldis Chapman,BOS,RP,01gya
Patrick Corbin,TEX,SP,01xfr
Ernie Clement,TOR,"1B,2B,3B,SS",04alp
Bryan Reynolds,PIT,OF,03e5m
Michael Lorenzen,KC,SP,02hir
Cade Smith,CLE,RP,04eor
Lourdes Gurriel Jr.,ARI,OF,03nri
Robert Suarez,SD,RP,05r01
Teoscar Hernandez,LAD,OF,02xic
Taj Bradley,TB/MIN,SP,04pr8
Oneil Cruz,PIT,OF,03zlh
Tomoyuki Sugano,BAL,SP,04b01
Spencer Steer,CIN,"1B,2B,OF",0512e
Ryan O'Hearn,BAL/SD,"1B,OF",03dgq
Alex Bregman,BOS,3B,02w7p
Xander Bogaerts,SD,SS,025gb
Anthony Volpe,NYY,SS,04y9p
Jake Irvin,WSH,SP,04ppz
Kyle Stowers,MIA,"1B,OF",04y97
Nolan Schanuel,LAA,1B,05yj1
Marcell Ozuna,ATL,UT,01usi
Edwin Diaz,NYM,RP,02my5
Slade Cecconi,CLE,SP,04tk1
Jhoan Duran,MIN/PHI,RP,04apj
Zach McKinstry,DET,"2B,3B,SS,OF",0473m
Caleb Durbin,MIL,"2B,3B",05y4b
Spencer Strider,ATL,SP,05mre
Luis Garcia Jr.,WSH,"1B,2B",0414g
