name,team,pos,rank
Aaron Nesmith,IND,"SG,SF",163
Isaiah Stewart,MEM,"PF,C",164
Yanic Konan Niederhauser,LAC,C,165
Herbert Jones,NO,"SG,SF",166
P.J. Washington,DAL,"PF,C",167
Bennedict Mathurin,NO,"SG,SF",168
Oso Ighodaro,PHO,C,169
Daniss Jenkins,DET,"PG,SG",170
Robert Williams III,POR,C,171
Kevin Porter Jr.,MIL,"PG,SG",172
Jaylon Tyson,CLE,"SG,SF,PF",173
Zaccharie Risacher,DAL,"SF,PF",174
Aaron Gordon,DEN,"PF,C",175
Davion Mitchell,MIA,PG,176
Damian Lillard,POR,PG,177
Joan Beringer,MIN,"PF,C",178
Dillon Brooks,PHO,"SF,PF",179
Daniel Gafford,DAL,C,180
Aday Mara,OKC,C,181
Ty Jerome,MEM,"PG,SG",182
Grayson Allen,CHA,"SG,SF",183
Terrence Shannon Jr.,MIN,"SG,SF",184
Malik Monk,SAC,"PG,SG",185
Jonathan Kuminga,MIN,"SF,PF",186
Ebuka Okorie,DET,PG,187
Christian Anderson,CHA,PG,188
Joshua Jefferson,BKN,PF,189
Jarace Walker,IND,"SF,PF",190
John Collins,DET,"PF,C",191
Neemias Queta,BOS,C,192
Kyle Filipowski,UTA,"PF,C",193
Gui Santos,GS,"SF,PF",194
Isaiah Collier,UTA,"PG,SG",195
Jordan Poole,NO,"PG,SG",197
Rui Hachimura,LAC,"SF,PF",198
Jared McCain,OKC,"PG,SG",199
Carlton Carrington,WAS,"PG,SG",200
Will Riley,WAS,"SF,PF",201
Max Christie,DAL,"SG,SF",202
Nique Clifford,SAC,"SG,SF",203
Noah Clowney,BKN,"PF,C",204
Collin Sexton,LAL,"PG,SG",205
Carter Bryant,SA,"SF,PF",206
Rasheer Fleming,PHO,"PF,C",207
Saddiq Bey,NO,"SF,PF",208
Jaylin Williams,OKC,"PF,C",209
Mitchell Robinson,BOS,C,210
Leonard Miller,CHI,"SF,PF",211
Max Strus,LAC,"SF,PF",212
Jalen Smith,CHI,"PF,C",213
Donte DiVincenzo,MIN,"SG,SF",214
Nikola Jovic,MIA,"PF,C",215
Ron Holland II,DET,"SF,PF",216
Cam Spencer,MEM,"PG,SG",217
Cam Whitmore,CLE,"SF,PF",218
Kasparas Jakucionis,MIL,"PG,SG",219
De'Andre Hunter,SAC,"SF,PF",220
Tobias Harris,SA,PF,221
Obi Toppin,IND,"SF,PF",222
Cameron Carr,LAL,SG,223
Jerami Grant,MEM,"SF,PF",224
Ousmane Dieng,MIL,"SF,PF",225
Dylan Cardwell,SAC,"PF,C",226
Naji Marshall,DAL,"SG,SF,PF",227
Labaron Philon Jr.,PHI,PG,228
Jusuf Nurkic,UTA,C,229
Sandro Mamukelashvili,LAL,"PF,C",230
Nikola Vucevic,ORL,C,232
Zuby Ejiofor,ATL,PF,233
Karim Lopez,MEM,SF,234
Jayden Quaintance,SA,PF,235
Jay Huff,IND,C,236
Jamal Shead,TOR,PG,237
Dru Smith,MIA,"PG,SG",238
Isaiah Jackson,LAC,C,239
Keon Ellis,BKN,"SG,SF",240
Thomas Sorber,OKC,C,241
De'Anthony Melton,GS,"PG,SG",242
Jrue Holiday,POR,"PG,SG",243
Hugo González,BOS,"SG,SF",244
Drake Powell,BKN,"PG,SG",245
Brice Sensabaugh,UTA,"SG,SF,PF",246
Taylor Hendricks,MEM,"PF,C",247
Yang Hansen,POR,C,248
Kelly Oubre Jr.,IND,"SF,PF",249
Quentin Grimes,LAL,"SG,SF",250
Alex Karaban,SAC,SF,251
Ryan Conwell,MIA,SG,252
Sergio de Larrea,DAL,PG,253
Draymond Green,GS,"PF,C",254
Paul Reed,DET,"PF,C",255
GG Jackson II,MEM,"SF,PF,C",256
Henri Veesaar,ATL,,257
Derrick Jones Jr.,LAC,"SF,PF",258
Baba Miller,LAC,PF,259
Richie Saunders,MEM,SG,260
Jaron Pierre Jr.,NO,,261
Tyler Bilodeau,BKN,PF,262
Ryan Dunn,PHO,"SF,PF",263
Miles McBride,NY,"PG,SG",264
Danny Wolf,BKN,"PF,C",265
Cody Williams,MIN,"SG,SF",266
Josh Minott,BKN,"SF,PF",267
Justin Champagnie,WAS,"SF,PF",268
Yves Missi,NO,C,269
Luke Kornet,SA,C,270
Keldon Johnson,SA,"SF,PF",271
Scotty Pippen Jr.,MEM,PG,272
Nolan Traoré,BKN,PG,273
Noa Essengue,CHI,PF,274
Pelle Larsson,MIA,"SG,SF",275
Julian Champagnie,SA,"SF,PF",276
Sam Merrill,CLE,"SG,SF",277
Emanuel Sharp,SAC,SG,278
Tarris Reed Jr.,SA,C,279
Isaiah Evans,MIN,SG,280
Kobe Sanders,LAC,"SG,SF",281
Devin Carter,ATL,"PG,SG",282
Trevon Brazile,DEN,PF,283
Izaiyah Nelson,ORL,,284
Koa Peat,PHO,PF,285
Bruce Thornton,HOU,PG,286
D'Angelo Russell,MEM,"PG,SG",287
Bradley Beal,LAC,"SG,SF",288
Goga Bitadze,ORL,C,289
Gradey Dick,LAC,"SG,SF",290
Jordan Walsh,BOS,"SF,PF",291
Luke Kennard,PHO,"SG,SF",292
Jordan Miller,LAC,"SG,SF",293
Brandon Williams,GS,PG,294
Jake LaRavia,LAL,"SF,PF",295
Moussa Cisse,DAL,C,296
Aaron Wiggins,ATL,"SG,SF",297
Ryan Nembhard,ATL,PG,298
Isaiah Joe,DET,"SG,SF",299
Sion James,CHA,"SG,SF",301
Walter Clayton Jr.,MEM,"PG,SG",302
Alex Caruso,OKC,"SG,SF",303
Kyle Kuzma,MIL,"SF,PF",304
Gary Trent Jr.,MIL,"SG,SF",305
Luguentz Dort,ATL,"SG,SF",306
Bobby Portis,MIA,"PF,C",307
Adem Bona,PHI,C,308
Moses Moody,GS,"SG,SF,PF",309
Pat Spencer,PHO,"PG,SG",310
Tristan Da Silva,ORL,"SF,PF",311
Bones Hyland,MIN,"PG,SG",312
Grant Williams,CHA,"PF,C",313
Andre Drummond,NY,C,314
Dennis Schröder,CHA,"PG,SG",315
Duncan Robinson,DET,"SG,SF",316
Spencer Jones,DEN,"SF,PF",317
Caris LeVert,MIL,"SG,SF",318
Marcus Smart,HOU,"PG,SG",319
Julian Strawther,DEN,"SG,SF",320
Rob Dillingham,CHI,"PG,SG",321
Zach Collins,CHI,C,322
Johnny Furphy,IND,"SG,SF",323
Quinten Post,MEM,C,324
Marcus Sasser,DAL,PG,325
Precious Achiuwa,SAC,"PF,C",326
Ja'Kobe Walter,TOR,"PG,SG",327
Harrison Barnes,SA,PF,328
Marvin Bagley III,DEN,"PF,C",329
Baylor Scheierman,BOS,"SG,SF",330
Cameron Payne,PHI,"PG,SG",331
Royce O'Neale,CHA,"SF,PF",332
Killian Hayes,SAC,"PG,SG",333
Caleb Love,PHI,"PG,SG",334
Khris Middleton,WAS,"SF,PF",335
Jeremy Sochan,POR,"PF,C",336
DaRon Holmes II,DEN,"PF,C",337
Nikola Topic,OKC,PG,338
Vince Williams Jr.,UTA,"PG,SG",339
Jose Alvarado,NY,PG,340
Nae'Qwan Tomlin,CLE,"SF,PF",341
Ben Sheppard,IND,"SG,SF",342
Brook Lopez,LAC,C,343
Steven Adams,HOU,C,344
Karlo Matkovic,NO,"PF,C",345
Jaxson Hayes,UTA,C,346
Jase Richardson,ORL,"PG,SG",347
Klay Thompson,MIA,"SG,SF",348
Kevin Huerter,DET,"SG,SF",349
Ziaire Williams,LAL,"SG,SF",350
Dean Wade,PHI,"SF,PF",351
Landry Shamet,NY,"SG,SF",352
Cam Thomas,MIL,"PG,SG",353
Jordan Goodwin,PHO,"PG,SG",354
Isaac Okoro,CHI,"SG,SF",355
Bronny James,LAL,"PG,SG",356
Moritz Wagner,BKN,C,357
Kris Dunn,LAC,"PG,SG",358
Tyler Kolek,NY,"PG,SG",359
Tyus Jones,DEN,PG,360
Bruce Brown,DEN,"PG,SG",361
Lonzo Ball,UTA,"PG,SG",362
Tre Jones,CHI,"PG,SG",363
Micah Peavy,NO,"SF,PF",364
AJ Green,MIL,"PG,SG,SF",365
Cole Anthony,PHO,PG,366
RayJ Dennis,ATL,PG,367
Guerschon Yabusele,CHI,"PF,C",368
T.J. McConnell,IND,PG,369
