combined_rank,player,pos,team,value,blended_score,hkb_rank,current_rank,current_value,sp_rank,rp_rank,sources_matched,level,prospect_rank
1441,Miguel Andujar,"3B,OF",ATH/CIN,0.0,852.0,852,,,,,1,MLB,
1442,Miguel Bleis,OF,BOS,0.0,852.0,852,,,,,1,AA,515
1443,Miguel Mendez,RP,SD,0.0,852.0,852,,,,,1,AA,516
1444,Miguel Rojas,"2B,3B,SS",LAD,0.0,852.0,852,,,,,1,MLB,
1445,Miguel Ullola,SP,HOU,0.0,852.0,852,,,,,1,MLB,
1446,Mike Boeve,"1B,3B",MIL,0.0,852.0,852,,,,,1,AA,517
1447,Mike Tauchman,OF,CHW,0.0,852.0,852,,,,,1,AAA,518
1448,Mike Vasil,RP,TB/CHW,0.0,852.0,852,,,,,1,MLB,
1449,Mike Yastrzemski,OF,SF/KC,0.0,852.0,852,,,,,1,MLB,
1450,Mikey Romero,SS,BOS,0.0,852.0,852,,,,,1,AAA,519
1451,Miles Mikolas,SP,STL,0.0,852.0,852,,,,,1,MLB,
1452,Mitch Farris,SP,LAA,0.0,852.0,852,,,,,1,MLB,
1453,Mitch Garver,C,SEA,0.0,852.0,852,,,,,1,MLB,
1454,Mitch Jebb,"2B,SS",PIT,0.0,852.0,852,,,,,1,AAA,520
1455,Mitch Spence,RP,ATH,0.0,852.0,852,,,,,1,MLB,
1456,Mitchell Parker,SP,WSH,0.0,852.0,852,,,,,1,MLB,
1457,MJ Melendez,"C,OF",KC,0.0,852.0,852,,,,,1,MLB,
1458,Moises Chace,SP,PHI,0.0,852.0,852,,,,,1,AA,521
1459,Myles Naylor,SS,ATH,0.0,852.0,852,,,,,1,A+,522
1460,Myles Straw,OF,TOR,0.0,852.0,852,,,,,1,MLB,
1461,Nacho Alvarez,3B,ATL,0.0,852.0,852,,,,,1,AAA,523
1462,Nate Lavender,RP,TB,0.0,852.0,852,,,,65,1,MLB,
1463,Nate Pearson,"SP,RP",CHC,0.0,852.0,852,,,,92,1,MLB,
1464,Nathan Church,OF,STL,0.0,852.0,852,,,,,1,MLB,
1465,Nathan Lukes,OF,TOR,0.0,852.0,852,375,7.0,,,1,MLB,
1466,Nazzan Zanetello,SS,BOS,0.0,852.0,852,,,,,1,A+,524
1467,Nelson Velazquez,"OF,UT",KC/PIT,0.0,852.0,852,,,,,1,MLB,
1468,Nestor Cortes Jr.,SP,MIL/SD,0.0,852.0,852,,,,,1,A,525
1469,Nestor German,SP,BAL,0.0,852.0,852,,,,,1,AAA,526
1470,Nick Becker,SS,SEA,0.0,852.0,852,,,,,1,A,527
1471,Nick Castellanos,OF,PHI,0.0,852.0,852,,,,,1,MLB,
1472,Nick Fortes,C,MIA/TB,0.0,852.0,852,,,,,1,MLB,
1473,Nick Frasso,RP,LAD,0.0,852.0,852,,,,,1,MLB,
1474,Nick Loftin,"2B,3B,OF",KC,0.0,852.0,852,,,,,1,MLB,
1475,Nick Madrigal,"2B,3B",NYM,0.0,852.0,852,,,,,1,MLB,
1476,Nick Mears,RP,MIL,0.0,852.0,852,,,,,1,MLB,
1477,Nick Morabito,OF,NYM,0.0,852.0,852,,,,,1,MLB,
1478,Nick Nastrini,RP,CHW/MIA/LAD,0.0,852.0,852,,,,,1,AA,528
1479,Nick Sogard,"1B,2B,SS",BOS,0.0,852.0,852,,,,,1,MLB,
1480,Nick Yorke,2B,PIT,0.0,852.0,852,,,,,1,MLB,
1481,Niko Kavadas,1B,LAA,0.0,852.0,852,,,,,1,AAA,529
1482,Nolan Jones,OF,COL/CLE,0.0,852.0,852,,,,,1,AAA,530
1483,Nolan Schubart,"1B,OF",CLE,0.0,852.0,852,,,,,1,AA,531
1484,Orelvis Martinez,SS,TOR/WSH,0.0,852.0,852,,,,,1,AAA,532
1485,Orlando Arcia,"1B,2B,3B,SS",ATL/COL,0.0,852.0,852,,,,,1,MLB,
1486,Osvaldo Bido,RP,ATH,0.0,852.0,852,,,,,1,MLB,
1487,Oswald Peraza,"1B,2B,3B,SS",NYY/LAA,0.0,852.0,852,,,,,1,MLB,
1488,Oswaldo Cabrera,"1B,2B,3B,OF",NYY,0.0,852.0,852,,,,,1,MLB,
1489,Otto Kemp,"1B,2B,3B,OF",PHI,0.0,852.0,852,,,,,1,MLB,
1490,Owen Ayers,C,CHC,0.0,852.0,852,,,,,1,AAA,533
1491,Owen Hall,SP,DET,0.0,852.0,852,,,,,1,A,534
1492,Owen Wild,SP,TB,0.0,852.0,852,,,,,1,AAA,535
1493,Pablo Guerrero,1B,TEX,0.0,852.0,852,,,,,1,A,536
1494,Parks Harber,3B,NYY/SF,0.0,852.0,852,,,,,1,AAA,537
1495,Patrick Bailey,C,SF,0.0,852.0,852,,,,,1,MLB,
1496,Patrick Corbin,SP,TEX,0.0,852.0,852,,,,,1,MLB,
1497,Paul Blackburn,"SP,RP",NYM/NYY,0.0,852.0,852,,,,94,1,MLB,
1498,Paulino Santana,OF,TEX,0.0,852.0,852,,,,,1,A,538
1499,Pavin Smith,"1B,OF",ARI,0.0,852.0,852,,,,,1,MLB,
1500,Payton Eeles,"2B,SS",MIN,0.0,852.0,852,,,,,1,AAA,539
1501,Payton Martin,SP,LAD,0.0,852.0,852,,,,,1,AA,540
1502,Pedro Leon,OF,HOU,0.0,852.0,852,,,,,1,AAA,541
1503,Pedro Pages,C,STL,0.0,852.0,852,,,,,1,MLB,
1504,Peyton Pallette,RP,CHW,0.0,852.0,852,,,,,1,MLB,
1505,Phil Maton,RP,STL/TEX,0.0,852.0,852,,,,,1,MLB,
1506,Pierce Johnson,RP,ATL,0.0,852.0,852,,,,,1,MLB,
1507,PJ Morlando,OF,MIA,0.0,852.0,852,,,,,1,A,542
1508,Porter Hodge,RP,CHC,0.0,852.0,852,,,,,1,AAA,543
1509,Prelander Berroa,RP,CHW,0.0,852.0,852,,,,,1,ROK,544
1510,Quentin Young,SS,MIN,0.0,852.0,852,,,,,1,A,545
1511,Rafael Marchan,C,PHI,0.0,852.0,852,,,,,1,MLB,
1512,Ramon Ramirez,C,KC,0.0,852.0,852,,,,,1,A+,546
1513,Ramon Urias,"2B,3B",BAL/HOU,0.0,852.0,852,,,,,1,MLB,
1514,Randal Grichuk,OF,ARI/KC,0.0,852.0,852,,,,,1,MLB,
1515,Randy Dobnak,SP,MIN/DET,0.0,852.0,852,,,,,1,MLB,
1516,Randy Rodriguez,RP,SF,0.0,852.0,852,,,,,1,MLB,
1517,Raudi Rodriguez,OF,LAA,0.0,852.0,852,,,,,1,AAA,547
1518,Raudy Reyes,SP,ATL,0.0,852.0,852,,,,,1,ROK,548
1519,Rayne Doncon,"3B,SS",MIN,0.0,852.0,852,,,,,1,A+,549
1520,Rayner Arias,OF,SF,0.0,852.0,852,,,,,1,ROK,550
1521,Rece Hinds,"3B,OF",CIN,0.0,852.0,852,,,,,1,MLB,
1522,Reed Garrett,RP,NYM,0.0,852.0,852,,,,,1,AA,551
1523,Reggie Crawford,RP,SF,0.0,852.0,852,,,,,1,ROK,552
1524,Rhys Hoskins,1B,MIL,0.0,852.0,852,,,,,1,MLB,
1525,Richard Fitts,SP,BOS,0.0,852.0,852,,,,,1,AAA,553
1526,Richie Palacios,"2B,OF",TB,0.0,852.0,852,,,,,1,MLB,
1527,Riley Cornelio,SP,WSH,0.0,852.0,852,,,,,1,MLB,
1528,RJ Schreck,OF,TOR,0.0,852.0,852,,,,,1,AAA,554
1529,Rob Refsnyder,OF,BOS,0.0,852.0,852,,,,,1,MLB,
1530,Robert Arias,OF,CLE,0.0,852.0,852,,,,,1,A,555
1531,Robert Hassell,OF,WSH,0.0,852.0,852,,,,,1,AAA,556
1532,Robert Stephenson,RP,LAA,0.0,852.0,852,,,,,1,A,557
1533,Roberto Campos,OF,DET,0.0,852.0,852,,,,,1,AA,558
1534,Roc Riggio,2B,NYY/COL,0.0,852.0,852,,,,,1,AAA,559
1535,Roderick Arias,"2B,SS",NYY,0.0,852.0,852,,,,,1,AA,560
1536,Romy Gonzalez,"1B,2B,3B,SS",BOS,0.0,852.0,852,,,,,1,MLB,
1537,Ronan Kopp,RP,LAD,0.0,852.0,852,,,,,1,AAA,561
1538,Ronel Blanco,SP,HOU,0.0,852.0,852,,,,,1,MLB,
1539,Ronny Henriquez,RP,MIA,0.0,852.0,852,,,,,1,MLB,
1540,Ronny Mauricio,"2B,3B",NYM,0.0,852.0,852,,,,,1,MLB,
1541,Rowdy Tellez,1B,SEA/TEX,0.0,852.0,852,,,,,1,MLB,
1542,Ryan Bergert,SP,SD/KC,0.0,852.0,852,,,,,1,AAA,562
1543,Ryan Bliss,2B,SEA,0.0,852.0,852,,,,,1,MLB,
1544,Ryan Feltner,SP,COL,0.0,852.0,852,,,,,1,MLB,
1545,Ryan Fernandez,RP,STL,0.0,852.0,852,,,,,1,MLB,
1546,Ryan Forcucci,SP,HOU,0.0,852.0,852,,,,,1,A,563
1547,Ryan Gusto,SP,HOU/MIA,0.0,852.0,852,,,,,1,MLB,
1548,Ryan Johnson,SP,LAA,0.0,852.0,852,,,,,1,MLB,
1549,Ryan Kreidler,"3B,SS,OF",DET/PIT,0.0,852.0,852,,,,,1,MLB,
1550,Ryan Lambert,RP,NYM,0.0,852.0,852,,,,,1,AAA,564
1551,Ryan McMahon,3B,COL/NYY,0.0,852.0,852,,,,,1,MLB,
1552,Ryan Mitchell,SS,STL,0.0,852.0,852,,,,,1,A,565
1553,Ryan Mountcastle,1B,BAL,0.0,852.0,852,,,,,1,MLB,
1554,Ryan Pressly,RP,CHC,0.0,852.0,852,,,,,1,MLB,
1555,Ryan Ritter,"2B,SS",COL,0.0,852.0,852,,,,,1,MLB,
1556,Ryan Thompson,RP,ARI,0.0,852.0,852,,,,,1,MLB,
1557,Ryan Vilade,OF,STL/CIN,0.0,852.0,852,,,,,1,MLB,
1558,Ryan Walker,RP,SF,0.0,852.0,852,,,,,1,MLB,
1559,Ryan Ward,"1B,OF",LAD,0.0,852.0,852,,,,,1,MLB,
1560,Ryan Wideman,OF,SD,0.0,852.0,852,,,,,1,A+,566
1561,Ryan Yarbrough,RP,TOR/NYY,0.0,852.0,852,,,,,1,MLB,
1562,Ryne Stanek,RP,NYM,0.0,852.0,852,,,,98,1,MLB,
1563,Sadbiel Delzine,SP,BOS,0.0,852.0,852,,,,,1,A,567
1564,Sam Bachman,RP,LAA,0.0,852.0,852,,,,,1,MLB,
1565,Sam Hentges,RP,CLE,0.0,852.0,852,,,,,1,MLB,
1566,Samad Taylor,2B,SEA,0.0,852.0,852,,,,,1,MLB,
1567,Samuel Aldegheri,SP,LAA,0.0,852.0,852,,,,,1,MLB,
1568,Samuel Munoz,"3B,OF",LAD,0.0,852.0,852,,,,,1,A+,568
1569,Samuel Zavala,OF,SD,0.0,852.0,852,,,,,1,AA,569
1570,Santiago Espinal,"2B,3B,OF",CIN,0.0,852.0,852,,,,,1,MLB,
1571,Sawyer Gipson-Long,RP,DET,0.0,852.0,852,,,,,1,AAA,570
1572,Scott Barlow,RP,CIN,0.0,852.0,852,,,,,1,MLB,
1573,Sean Murphy,C,ATL,0.0,852.0,852,,,,,1,MLB,
1574,Sean Newcomb,"SP,RP",BOS/ATH,0.0,852.0,852,,,,75,1,MLB,
1575,Sean Sullivan,SP,COL,0.0,852.0,852,,,,,1,MLB,
1576,Sem Robberse,SP,STL,0.0,852.0,852,,,,,1,A,571
1577,Seth Halvorsen,RP,COL,0.0,852.0,852,,,,,1,MLB,
1578,Seth Johnson,RP,PHI,0.0,852.0,852,,,,,1,MLB,
1579,Shawn Armstrong,RP,TEX,0.0,852.0,852,,,,,1,MLB,
1580,Shay Whitcomb,"3B,SS",HOU,0.0,852.0,852,,,,,1,MLB,
1581,Shelby Miller,RP,ARI/MIL,0.0,852.0,852,,,,,1,AAA,572
1582,Shinnosuke Ogasawara,RP,WSH,0.0,852.0,852,,,,,1,AAA,573
1583,Simeon Woods-Richardson,SP,MIN,0.0,852.0,852,,,,,1,MLB,
1584,Starling Marte,OF,NYM,0.0,852.0,852,,,,,1,MLB,
1585,Stephen Kolek,SP,SD/KC,0.0,852.0,852,,,,,1,MLB,
1586,Sterlin Thompson,OF,COL,0.0,852.0,852,,,,,1,MLB,
1587,Steven Cruz,RP,KC,0.0,852.0,852,356,7.6,,93,1,MLB,
1588,Steven Matz,RP,STL/BOS,0.0,852.0,852,,,,,1,MLB,
1589,Steven Zobac,SP,KC,0.0,852.0,852,,,,,1,AA,574
1590,Stiven Martinez,OF,BAL,0.0,852.0,852,,,,,1,A,575
1591,Sung Mun Song,3B,SD,0.0,852.0,852,,,,,1,MLB,
1592,Taijuan Walker,SP,PHI,0.0,852.0,852,,,,,1,MLB,
1593,Tanner Burns,RP,CLE,0.0,852.0,852,,,,,1,AAA,576
1594,Tanner Gordon,SP,COL,0.0,852.0,852,,,,,1,MLB,
1595,Tanner Houck,SP,BOS,0.0,852.0,852,,,,,1,AA,577
1596,Taylor Clarke,RP,KC,0.0,852.0,852,,,,,1,MLB,
1597,Taylor Rogers,RP,CIN/PIT/CHC,0.0,852.0,852,,,,,1,MLB,
1598,Taylor Walls,"2B,SS",TB,0.0,852.0,852,382,6.7,,,1,MLB,
1599,Tekoah Roby,SP,STL,0.0,852.0,852,,,,,1,AA,578
1600,Thairo Estrada,2B,COL,0.0,852.0,852,,,,,1,AAA,579
1601,Thatcher Hurd,SP,NYY,0.0,852.0,852,,,,,1,A,580
1602,Thomas Harrington,SP,PIT,0.0,852.0,852,,,,,1,AAA,581
1603,Thomas Saggese,"2B,3B,SS",STL,0.0,852.0,852,,,,,1,MLB,
1604,Tim Elko,1B,CHW,0.0,852.0,852,,,,,1,AAA,582
1605,Tim Herrin,RP,CLE,0.0,852.0,852,,,,,1,MLB,
1606,Tim Hill,RP,NYY,0.0,852.0,852,,,,,1,MLB,
1607,Tim Piasentin,3B,TOR,0.0,852.0,852,,,,,1,ROK,583
1608,Tirso Ornelas,OF,SD,0.0,852.0,852,,,,,1,AA,584
1609,T.J. Nichols,SP,TB,0.0,852.0,852,,,,,1,AA,585
1610,Tobias Myers,RP,MIL,0.0,852.0,852,,,,,1,MLB,
1611,Tommy Kahnle,RP,DET,0.0,852.0,852,,,,,1,MLB,
1612,Tommy Pham,OF,PIT,0.0,852.0,852,,,,,1,MLB,
1613,Tony Blanco Jr.,UT,PIT,0.0,852.0,852,,,,,1,A+,586
1614,Tony Gonsolin,SP,LAD,0.0,852.0,852,,,,,1,AAA,587
1615,Tony Santillan,RP,CIN,0.0,852.0,852,,,,59,1,MLB,
1616,Travis d'Arnaud,C,LAA,0.0,852.0,852,,,,,1,MLB,
1617,Trevor Harrison,SP,TB,0.0,852.0,852,,,,,1,A+,588
1618,Trevor McDonald,SP,SF,0.0,852.0,852,,,,,1,MLB,
1619,Trevor Williams,SP,WSH,0.0,852.0,852,,,,,1,MLB,
1620,Trey Gregory-Alford,SP,LAA,0.0,852.0,852,,,,,1,A,589
1621,Trey Lipscomb,3B,WSH,0.0,852.0,852,,,,,1,AAA,590
1622,Trey Sweeney,SS,DET,0.0,852.0,852,,,,,1,AAA,591
1623,Tristan Gray,"2B,3B",CHW/TB,0.0,852.0,852,,,,,1,MLB,
1624,Triston McKenzie,SP,CLE,0.0,852.0,852,,,,,1,AAA,592
1625,Troy Taylor,RP,SEA,0.0,852.0,852,,,,,1,AAA,593
1626,Tsung-Che Cheng,"2B,SS",PIT,0.0,852.0,852,,,,,1,MLB,
1627,Ty Floyd,SP,CIN,0.0,852.0,852,,,,,1,A+,594
1628,Ty Madden,SP,DET,0.0,852.0,852,,,,,1,MLB,
1629,Tyler Alexander,RP,MIL/CHW,0.0,852.0,852,,,,,1,MLB,
1630,Tyler Black,1B,MIL,0.0,852.0,852,,,,,1,MLB,
1631,Tyler Callihan,2B,CIN,0.0,852.0,852,,,,,1,MLB,
1632,Tyler Fitzgerald,"2B,SS,OF",SF,0.0,852.0,852,,,,,1,AAA,595
1633,Tyler Freeman,"2B,SS,OF",CLE/COL,0.0,852.0,852,,,,,1,MLB,
1634,Tyler Gentry,OF,KC,0.0,852.0,852,,,,,1,AAA,596
1635,Tyler Holton,"SP,RP",DET,0.0,852.0,852,296,9.9,,,1,MLB,
1636,Tyler Kinley,RP,COL/ATL,0.0,852.0,852,,,,,1,MLB,
1637,Tyler Locklear,1B,SEA/ARI,0.0,852.0,852,,,,,1,MLB,
1638,Tyler O'Neill,OF,BAL,0.0,852.0,852,376,6.9,,,1,MLB,
1639,Tyler Phillips,RP,PHI/MIA,0.0,852.0,852,,,,,1,MLB,
1640,Tyler Tolbert,"2B,SS,OF,RP",KC,0.0,852.0,852,,,,,1,MLB,
1641,Tylor Megill,SP,NYM,0.0,852.0,852,,,,,1,AA,597
1642,Tyron Guerrero,RP,BOS,0.0,852.0,852,,,,40,1,MLB,
1643,Tyrone Taylor,OF,NYM,0.0,852.0,852,,,,,1,MLB,
1644,Tyson Hardin,SP,MIL,0.0,852.0,852,,,,,1,AAA,598
1645,Tyson Neighbors,RP,SD/BAL,0.0,852.0,852,,,,,1,AA,599
1646,Valente Bellozo,SP,MIA,0.0,852.0,852,,,,,1,MLB,
1647,Victor Acosta,"2B,SS",CIN,0.0,852.0,852,,,,,1,A+,600
1648,Victor Bericoto,"1B,OF",SF,0.0,852.0,852,,,,,1,MLB,
1649,Victor Caratini,"C,1B",HOU,0.0,852.0,852,,,,,1,MLB,
1650,Victor Figueroa,1B,SD/BAL,0.0,852.0,852,,,,,1,AA,601
1651,Victor Hurtado,OF,WSH,0.0,852.0,852,,,,,1,ROK,602
1652,Victor Lizarraga,SP,SD,0.0,852.0,852,,,,,1,AA,603
1653,Victor Mesa Jr.,OF,MIA,0.0,852.0,852,,,,,1,MLB,
1654,Victor Robles,OF,SEA,0.0,852.0,852,,,,,1,MLB,
1655,Victor Vodnik,RP,COL,0.0,852.0,852,,,,,1,MLB,
1656,Vidal Brujan,"2B,3B,SS,OF",CHC/BAL/ATL,0.0,852.0,852,,,,,1,MLB,
1657,Wade Meckler,OF,SF,0.0,852.0,852,,,,,1,MLB,
1658,Walker Janek,C,HOU,0.0,852.0,852,,,,,1,AA,604
1659,Walker Martin,SS,SF,0.0,852.0,852,,,,,1,A+,605
1660,Walter Ford,SP,SEA,0.0,852.0,852,,,,,1,A+,606
1661,Wander Franco,SS,TB,0.0,852.0,852,,,,,1,,
1662,Wandy Peralta,RP,SD,0.0,852.0,852,,,,,1,MLB,
1663,Warming Bernabel,"1B,3B",COL,0.0,852.0,852,,,,,1,AAA,607
1664,Welbyn Francisca,"2B,SS",CLE,0.0,852.0,852,,,,,1,A+,608
1665,Wenceel Perez,"SS,OF",DET,0.0,852.0,852,,,,,1,MLB,
1666,Wikelman Gonzalez,RP,CHW,0.0,852.0,852,,,,,1,MLB,
1667,Wilber Dotel,SP,PIT,0.0,852.0,852,,,,,1,MLB,
1668,Wilberson De Pena,OF,NYY,0.0,852.0,852,,,,,1,A,609
1669,Will Bednar,RP,SF,0.0,852.0,852,,,,,1,AAA,610
1670,Will Benson,OF,CIN,0.0,852.0,852,,,,,1,MLB,
1671,Will Brennan,OF,CLE,0.0,852.0,852,,,,,1,MLB,
1672,Will Dion,RP,CLE,0.0,852.0,852,,,,83,1,MLB,
1673,Will Klein,RP,SEA/LAD,0.0,852.0,852,,,,,1,MLB,
1674,Will Simpson,1B,TB,0.0,852.0,852,,,,,1,AAA,611
1675,Will Vest,RP,DET,0.0,852.0,852,,,,,1,MLB,
1676,Will Wagner,"1B,2B,3B",TOR/SF/SD,0.0,852.0,852,,,,,1,MLB,
1677,Will Watson,SP,NYM,0.0,852.0,852,,,,,1,AA,612
1678,William Bergolla,"2B,SS",CHW,0.0,852.0,852,,,,,1,AAA,613
1679,Wilmer Flores,RP,DET,0.0,852.0,852,,,,,1,A,614
1680,Wilmer Flores,"1B,2B",SF,0.0,852.0,852,,,,,1,MLB,
1681,Winston Santos,SP,TEX,0.0,852.0,852,,,,,1,MLB,
1682,Won-Bin Cho,OF,STL,0.0,852.0,852,,,,,1,AA,615
1683,Woo-Suk Go,RP,MIA/DET,0.0,852.0,852,,,,,1,MLB,
1684,Yandel Ricardo,SS,KC,0.0,852.0,852,,,,,1,A,616
1685,Yanquiel Fernandez,OF,COL,0.0,852.0,852,,,,,1,AAA,617
1686,Yariel Rodriguez,RP,TOR,0.0,852.0,852,,,,,1,MLB,
1687,Yasser Mercedes,OF,MIN,0.0,852.0,852,,,,,1,A+,618
1688,Yennier Cano,RP,BAL,0.0,852.0,852,343,8.1,,44,1,MLB,
1689,Yilber Diaz,SP,ARI,0.0,852.0,852,,,,,1,MLB,
1690,Yimi Garcia,RP,TOR,0.0,852.0,852,,,,,1,AAA,619
1691,Yoan Moncada,3B,LAA,0.0,852.0,852,,,,,1,MLB,
1692,Yohan Ramirez,RP,PIT,0.0,852.0,852,,,,,1,MLB,
1693,Yohendrick Pinango,OF,TOR,0.0,852.0,852,,,,,1,MLB,
1694,Yoniel Curet,SP,TB,0.0,852.0,852,,,,,1,AAA,620
1695,Yophery Rodriguez,OF,MIL/BOS,0.0,852.0,852,,,,,1,A+,621
1696,Yordanny Monegro,SP,BOS,0.0,852.0,852,,,,,1,A+,622
1697,Yovanny Cruz,RP,BOS,0.0,852.0,852,,,,,1,MLB,
1698,Yovanny Rodriguez,C,NYM,0.0,852.0,852,,,,,1,A,623
1699,Yu Darvish,SP,SD,0.0,852.0,852,,,,,1,AAA,624
1700,Yu-Min Lin,SP,ARI,0.0,852.0,852,,,,,1,AAA,625
1701,Yuki Matsui,RP,SD,0.0,852.0,852,,,,,1,MLB,
1702,Zach Agnos,RP,COL,0.0,852.0,852,,,,,1,MLB,
1703,Zach Cole Jr.,"OF,UT",HOU,0.0,852.0,852,,,,,1,MLB,
1704,Zach Dezenzo,"1B,3B,OF",HOU,0.0,852.0,852,,,,,1,MLB,
1705,Zach Maxwell,RP,CIN,0.0,852.0,852,,,,,1,MLB,
1706,Zack Littell,SP,TB/CIN,0.0,852.0,852,,,,,1,MLB,
1707,Zander Mueth,SP,PIT,0.0,852.0,852,,,,,1,A,626
1708,Alimber Santa,RP,HOU,,,,,,,,0,,
1709,Angeibel Gomez,OF,,,,,,,,,0,ROK,
1710,Cam Booser,RP,CHW,,,,,,,,0,,
1711,Drew Sommers,"SP,RP",DET,,,,,,,,0,,
1712,Eliazar Dishmey,SP,MIA,,,,,,,,0,,
1713,Elmer Rodriguez,SP,NYY,,,,,,,,0,,
1714,Francisco Renteria,OF,,,,,,,,,0,ROK,
1715,Luis Gastelum,RP,STL,,,,,,,,0,,
