player,fantasy_team
Darius Slayton,Russell (10)
DeAndre Hopkins,Russell (10)
Drake London,Russell (10)
Jalen Hurts,Russell (10)
Jayden Reed,Russell (10)
Jordan Love,Russell (10)
Kenyon Sadiq,Russell (10)
Luke McCaffrey,Russell (10)
Malik Willis,Russell (10)
Nick Westbrook-Ikhine,Russell (10)
Omarion Hampton,Russell (10)
Quentin Johnston,Russell (10)
Quinshon Judkins,Russell (10)
RJ Harvey,Russell (10)
Rashod Bateman,Russell (10)
Rico Dowdle,Russell (10)
Rome Odunze,Russell (10)
Shedeur Sanders,Russell (10)
Skyler Bell,Russell (10)
Tank Bigsby,Russell (10)
Tutu Atwell,Russell (10)
Tyrone Tracy Jr.,Russell (10)
Wan'Dale Robinson,Russell (10)
Zay Flowers,Russell (10)
AJ Dillon,Stephen B (12)
Blake Corum,Stephen B (12)
Cade Klubnik,Stephen B (12)
Cade Otton,Stephen B (12)
Caleb Williams,Stephen B (12)
Christian Kirk,Stephen B (12)
Chuba Hubbard,Stephen B (12)
Dontayvion Wicks,Stephen B (12)
Eli Stowers,Stephen B (12)
Emmett Johnson,Stephen B (12)
Geno Smith,Stephen B (12)
George Kittle,Stephen B (12)
Isaac Guerendo,Stephen B (12)
Jahan Dotson,Stephen B (12)
Jalen Coker,Stephen B (12)
Jeremiyah Love,Stephen B (12)
Joshua Palmer,Stephen B (12)
Kayshon Boutte,Stephen B (12)
Khalil Shakir,Stephen B (12)
Luther Burden III,Stephen B (12)
Marlin Klein,Stephen B (12)
Nick Chubb,Stephen B (12)
Noah Gray,Stephen B (12)
Ollie Gordon II,Stephen B (12)
Theo Johnson,Stephen B (12)
Travis Hunter,Stephen B (12)
Travis Kelce,Stephen B (12)
Tyson Bagent,Stephen B (12)
Xavier Legette,Stephen B (12)
Xavier Worthy,Stephen B (12)
Brian Robinson,Tommy (1)
Brian Thomas Jr.,Tommy (1)
Bryce Young,Tommy (1)
Chris Brooks,Tommy (1)
Courtland Sutton,Tommy (1)
DJ Giddens,Tommy (1)
De'Zhaun Stribling,Tommy (1)
Emeka Egbuka,Tommy (1)
George Pickens,Tommy (1)
Jacoby Brissett,Tommy (1)
Jaxon Smith-Njigba,Tommy (1)
Jayden Higgins,Tommy (1)
Jaydon Blue,Tommy (1)
Jaylen Warren,Tommy (1)
Jaylen Wright,Tommy (1)
KC Concepcion,Tommy (1)
Kaelon Black,Tommy (1)
Kaytron Allen,Tommy (1)
Kimani Vidal,Tommy (1)
Kyle Pitts Sr.,Tommy (1)
Kyren Williams,Tommy (1)
Malik Washington,Tommy (1)
Matthew Stafford,Tommy (1)
Michael Penix Jr.,Tommy (1)
Parker Washington,Tommy (1)
Rashid Shaheed,Tommy (1)
Seth McGowan,Tommy (1)
Tony Pollard,Tommy (1)
Tory Horton,Tommy (1)
Travis Etienne Jr.,Tommy (1)
Aaron Jones Sr.,Tyler (6)
Adam Randall,Tyler (6)
Alvin Kamara,Tyler (6)
Andrei Iosivas,Tyler (6)
Baker Mayfield,Tyler (6)
Bucky Irving,Tyler (6)
Chris Brazzell II,Tyler (6)
Chris Godwin Jr.,Tyler (6)
Dallas Goedert,Tyler (6)
DeVonta Smith,Tyler (6)
Elic Ayomanor,Tyler (6)
Ja'Marr Chase,Tyler (6)
Jadarian Price,Tyler (6)
Jalen Nailor,Tyler (6)
Jaylen Waddle,Tyler (6)
Jonathan Taylor,Tyler (6)
Jordan Addison,Tyler (6)
Keon Coleman,Tyler (6)
Nicholas Singleton,Tyler (6)
Omar Cooper Jr.,Tyler (6)
Patrick Mahomes,Tyler (6)
Rachaad White,Tyler (6)
Rhamondre Stevenson,Tyler (6)
Romeo Doubs,Tyler (6)
Ted Hurst III,Tyler (6)
Terry McLaurin,Tyler (6)
Trevor Lawrence,Tyler (6)
Trey McBride,Tyler (6)
Tyjae Spears,Tyler (6)
Tyreek Hill,Tyler (6)
