reason,player,fp_dynasty_rank,ktc_rank,best_rank
"on authority, unranked by all sources",Jeremiah Webb,,,
"on authority, unranked by all sources",Trayvon Rudolph,,,
"on authority, unranked by all sources",Courtney Jackson,,,
"on authority, unranked by all sources",Montrell Washington,,,
"on authority, unranked by all sources",A.T. Perry,,,
"on authority, unranked by all sources",Juwann Winfree,,,
"on authority, unranked by all sources",Cortez Braham Jr.,,,
"on authority, unranked by all sources",Wesley Grimes,,,
"on authority, unranked by all sources",Shaleak Knotts,,,
"on authority, unranked by all sources",Josh Kelly,,,
"on authority, unranked by all sources",Squirrel White,,,
"on authority, unranked by all sources",Jacob De Jesus,,,
"on authority, unranked by all sources",Luke Wysong,,,
"on authority, unranked by all sources",Jakobie Keeney-James,,,
"on authority, unranked by all sources",Hank Beatty,,,
"on authority, unranked by all sources",Junior Bergen,,,
"on authority, unranked by all sources",Jalen Virgil,,,
"on authority, unranked by all sources",Tay Martin,,,
"on authority, unranked by all sources",Corey Rucker,,,
"on authority, unranked by all sources",Stephen Gosnell,,,
"on authority, unranked by all sources",Camden Brown,,,
"on authority, unranked by all sources",Kyron Hudson,,,
"on authority, unranked by all sources",JP Richardson,,,
"on authority, unranked by all sources",Tommy Thomas,,,
"on authority, unranked by all sources",Cole Burgess,,,
"on authority, unranked by all sources",Tejhaun Palmer,,,
"on authority, unranked by all sources",Liam Clifford,,,
"on authority, unranked by all sources",Nick DeGennaro,,,
"on authority, unranked by all sources",Xavier Guillory,,,
"on authority, unranked by all sources",Xavier Johnson,,,
"on authority, unranked by all sources",Mekhi Mews,,,
"on authority, unranked by all sources",Gary Jennings,,,
"on authority, unranked by all sources",Andrew Armstrong,,,
"on authority, unranked by all sources",Elijah Cooks,,,
"on authority, unranked by all sources",Mac Dalena,,,
"on authority, unranked by all sources",Jimmy Holiday,,,
"on authority, unranked by all sources",Ja'seem Reed,,,
"on authority, unranked by all sources",Brandon Hayes,,,
"on authority, unranked by all sources",Trent Taylor,,,
"on authority, unranked by all sources",Cornell Powell,,,
"on authority, unranked by all sources",Samori Toure,,,
"on authority, unranked by all sources",Maurice Alexander,,,
"on authority, unranked by all sources",E.J. Williams Jr.,,,
"on authority, unranked by all sources",John Rhys Plumlee,,,
"on authority, unranked by all sources",Raylen Sharpe,,,
"on authority, unranked by all sources",Jonathan Brady,,,
"on authority, unranked by all sources",Jacoby Jones,,,
"on authority, unranked by all sources",Colton Dowell,,,
"on authority, unranked by all sources",Jalen Moreno-Cropper,,,
"on authority, unranked by all sources",Michael Briscoe,,,
"on authority, unranked by all sources",Gabriel Benyard,,,
