player,fantasy_team
Desmond Bane,Russell (10)
Donovan Clingan,Russell (10)
Donovan Mitchell,Russell (10)
Jalen Brunson,Russell (10)
Jonathan Kuminga,Russell (10)
Jose Alvarado,Russell (10)
Josh Hart,Russell (10)
Karl-Anthony Towns,Russell (10)
Kyrie Irving,Russell (10)
Luka Dončić,Russell (10)
Luka Garza,Russell (10)
Miles McBride,Russell (10)
Mitchell Robinson,Russell (10)
Nic Claxton,Russell (10)
Onyeka Okongwu,Russell (10)
Pacôme Dadiet,Russell (10)
Patrick Williams,Russell (10)
Rob Dillingham,Russell (10)
Robert Williams III,Russell (10)
Scottie Barnes,Russell (10)
Trae Young,Russell (10)
Trey Murphy III,Russell (10)
Tyler Kolek,Russell (10)
Yang Hansen,Russell (10)
Yanic Konan Niederhauser,Russell (10)
Zaccharie Risacher,Russell (10)
Alex Caruso,Stephen B (12)
Bobby Portis,Stephen B (12)
Cason Wallace,Stephen B (12)
Collin Sexton,Stephen B (12)
Corey Kispert,Stephen B (12)
Dereck Lively II,Stephen B (12)
Gary Trent Jr.,Stephen B (12)
Harrison Barnes,Stephen B (12)
Isaiah Stewart,Stephen B (12)
Jaden Ivey,Stephen B (12)
Jalen Green,Stephen B (12)
Jalen Suggs,Stephen B (12)
Jalen Williams,Stephen B (12)
Jared McCain,Stephen B (12)
Jayson Tatum,Stephen B (12)
K. Caldwell-Pope,Stephen B (12)
Kevin Durant,Stephen B (12)
Khaman Maluach,Stephen B (12)
Kyle Filipowski,Stephen B (12)
LeBron James,Stephen B (12)
Luke Kennard,Stephen B (12)
Mark Williams,Stephen B (12)
Matas Buzelis,Stephen B (12)
Nae'Qwan Tomlin,Stephen B (12)
Naz Reid,Stephen B (12)
Obi Toppin,Stephen B (12)
P.J. Washington,Stephen B (12)
Tobias Harris,Stephen B (12)
Tristan da Silva,Stephen B (12)
Tyus Jones,Stephen B (12)
Walter Clayton Jr.,Stephen B (12)
Wendell Carter Jr.,Stephen B (12)
Aaron Nesmith,Tommy (1)
Adem Bona,Tommy (1)
Amen Thompson,Tommy (1)
Ausar Thompson,Tommy (1)
Bilal Coulibaly,Tommy (1)
Brandin Podziemski,Tommy (1)
Cam Whitmore,Tommy (1)
Cameron Payne,Tommy (1)
Collin Gillespie,Tommy (1)
Deandre Ayton,Tommy (1)
Devin Carter,Tommy (1)
Dyson Daniels,Tommy (1)
Egor Dëmin,Tommy (1)
Franz Wagner,Tommy (1)
Fred VanVleet,Tommy (1)
Gui Santos,Tommy (1)
Immanuel Quickley,Tommy (1)
Isaiah Hartenstein,Tommy (1)
Jake LaRavia,Tommy (1)
Javon Small,Tommy (1)
Jock Landale,Tommy (1)
Jusuf Nurkić,Tommy (1)
Kevin Porter Jr.,Tommy (1)
Khris Middleton,Tommy (1)
Kyshawn George,Tommy (1)
Naji Marshall,Tommy (1)
Peyton Watson,Tommy (1)
Precious Achiuwa,Tommy (1)
Ronald Holland II,Tommy (1)
Rui Hachimura,Tommy (1)
Russell Westbrook,Tommy (1)
Ryan Dunn,Tommy (1)
Ryan Rollins,Tommy (1)
Y. Konan Niederhäuser,Tommy (1)
Aaron Gordon,Tyler (6)
Al Horford,Tyler (6)
Ayo Dosunmu,Tyler (6)
Bennedict Mathurin,Tyler (6)
Cameron Johnson,Tyler (6)
De'Anthony Melton,Tyler (6)
DeMar DeRozan,Tyler (6)
Dennis Schröder,Tyler (6)
Derrick White,Tyler (6)
Donte DiVincenzo,Tyler (6)
Jakob Poeltl,Tyler (6)
Jarrett Allen,Tyler (6)
Jimmy Butler III,Tyler (6)
Joel Embiid,Tyler (6)
John Collins,Tyler (6)
Jrue Holiday,Tyler (6)
Julius Randle,Tyler (6)
Kris Dunn,Tyler (6)
Kyle Kuzma,Tyler (6)
Malik Monk,Tyler (6)
Micah Potter,Tyler (6)
Miles Bridges,Tyler (6)
Nick Richards,Tyler (6)
Nikola Jokić,Tyler (6)
Norman Powell,Tyler (6)
Paul George,Tyler (6)
Royce O'Neale,Tyler (6)
Santi Aldama,Tyler (6)
Stephen Curry,Tyler (6)
T.J. McConnell,Tyler (6)
Tyrese Maxey,Tyler (6)
Walker Kessler,Tyler (6)
