combined_rank,player,pos,team,value,blended_score,dynasty_rank,keeper_rank,current_rank,current_value,sources_matched
84,Jabari Smith Jr.,"F,C",HOU,23.2,89.03,92,83,125,16.5,2
85,Immanuel Quickley,G,TOR,23.0,89.6,83,103,78,24.5,2
86,Kyshawn George,"G,F",WAS,22.8,89.99,89,92,141,14.5,2
87,Ace Bailey,F,UTA,22.6,90.14,104,62,135,15.2,2
88,Keegan Murray,F,SAC,22.4,91.78,70,136,110,18.7,2
89,Jalen Suggs,G,ORL,22.2,92.64,90,98,89,22.2,2
90,Mikal Bridges,F,NYK,22.1,92.93,86,107,81,23.8,2
91,Isaiah Hartenstein,C,OKC,21.9,93.93,87,108,94,21.3,2
92,Kawhi Leonard,"G,F",LAC,21.7,95.38,100,86,41,35.4,2
93,Kyrie Irving,G,DAL,21.5,95.95,91,106,77,24.7,2
94,Ausar Thompson,"G,F",DET,21.3,98.87,119,58,93,21.5,2
95,Nic Claxton,C,CHI,21.1,98.95,94,109,109,18.8,2
96,Jeremiah Fears,G,NOP,21.0,99.73,106,87,177,10.7,2
97,Jalen Green,"G,F",PHX,20.8,99.95,95,110,56,30.1,2
98,Ajay Mitchell,G,OKC,20.6,101.5,85,135,212,7.7,2
99,Julius Randle,F,BKN,20.4,101.94,96,114,48,32.7,2
100,Joel Embiid,C,PHI,20.3,102.28,97,113,29,41.3,2
101,Jarrett Allen,C,CLE,20.1,105.69,108,101,54,30.7,2
102,Cedric Coward,"G,F",MEM,19.9,108.07,115,94,179,10.5,2
103,Myles Turner,C,MIL,19.8,108.28,103,119,95,21.1,2
104,Morez Johnson Jr.,F,DAL,19.6,108.65,107,112,290,2.5,2
105,Egor Dëmin,G,BKN,19.5,111.48,126,82,164,12.0,2
106,Nickeil Alexander-Walker,G,ATL,19.3,111.54,66,204,143,14.3,2
107,Mark Williams,C,PHX,19.1,112.14,93,151,80,24.0,2
108,Cason Wallace,"G,F",OKC,19.0,112.2,132,72,175,10.9,2
109,RJ Barrett,"G,F",TOR,18.8,112.44,123,91,67,27.0,2
110,Day'Ron Sharpe,C,BKN,18.7,114.51,99,146,216,7.4,2
111,Fred VanVleet,G,HOU,18.5,114.53,101,142,140,14.6,2
112,Ayo Dosunmu,G,MIN,18.4,115.43,125,96,117,17.6,2
113,Coby White,G,CHA,18.2,116.62,112,126,59,29.2,2
114,Devin Vassell,"G,F",SAS,18.1,117.33,117,118,98,20.6,2
115,Brandin Podziemski,G,GSW,17.9,118.29,114,127,105,19.5,2
116,Shaedon Sharpe,G,POR,17.8,118.43,128,99,83,23.4,2
117,Peyton Watson,F,CLE,17.6,119.27,113,132,278,3.2,2
118,Josh Hart,"G,F",NYK,17.5,121.08,129,105,57,29.8,2
119,Rudy Gobert,C,MIN,17.4,121.22,110,144,63,28.1,2
120,Christian Braun,"G,F",DEN,17.2,122.0,122,122,114,18.1,2
121,Yaxel Lendeborg,F,GSW,17.1,122.46,135,97,293,2.3,2
122,Scoot Henderson,G,POR,16.9,123.43,133,104,121,17.1,2
123,Maxime Raynaud,C,SAC,16.8,125.05,130,115,214,7.5,2
124,Miles Bridges,F,PHX,16.7,127.33,127,128,49,32.3,2
125,Tre Johnson,"G,F",WAS,16.5,128.42,137,111,174,11.0,2
126,Deandre Ayton,C,WAS,16.4,130.05,102,187,104,19.6,2
127,Jaime Jaquez Jr.,"G,F",MIL,16.3,130.19,116,159,116,17.8,2
128,Kristaps Porziņģis,C,GSW,16.1,130.45,109,174,75,25.1,2
129,Dereck Lively II,C,DAL,16.0,134.4,141,121,139,14.8,2
130,LeBron James,F,PHI,15.9,136.28,131,147,14,53.8,2
131,Santi Aldama,F,DAL,15.7,136.4,143,123,118,17.5,2
132,Hannes Steinbach,F,CHA,15.6,137.1,147,117,,,2
133,Zach LaVine,"G,F",SAC,15.5,137.73,111,192,84,23.2,2
134,Moussa Diabaté,C,CHA,15.4,140.0,140,140,223,6.9,2
135,Allen Graves,F,TOR,15.2,141.92,134,158,232,6.2,2
136,Andrew Nembhard,G,IND,15.1,142.99,142,145,85,23.0,2
137,Jimmy Butler III,F,GSW,15.0,145.1,155,125,82,23.6,2
138,Bilal Coulibaly,"G,F",WAS,14.9,145.93,139,160,136,15.1,2
139,Tari Eason,"G,F",HOU,14.8,146.37,150,139,128,16.1,2
140,Dailyn Swain,F,CHI,14.6,149.65,148,153,,,2
141,Herbert Jones,"G,F",NOP,14.5,150.44,161,129,156,12.8,2
142,Paul George,F,BOS,14.4,150.7,121,211,68,26.8,2
143,Khaman Maluach,C,PHX,14.3,151.71,156,143,288,2.6,2
144,Jaylen Wells,"G,F",MEM,14.2,152.67,153,152,227,6.6,2
145,Yanic Konan Niederhauser,C,LAC,14.0,153.73,160,141,,,2
146,P.J. Washington,"F,C",DAL,13.9,159.69,162,155,113,18.2,2
147,DeMar DeRozan,F,DEN,13.8,159.92,152,176,62,28.3,2
148,Nate Ament,F,MIL,13.7,160.88,149,185,313,1.2,2
149,CJ McCollum,G,ATL,13.6,160.93,154,175,76,24.9,2
150,Anfernee Simons,G,PHI,13.5,163.93,157,178,115,17.9,2
151,Cameron Johnson,F,DEN,13.4,164.2,151,191,107,19.1,2
152,Daniss Jenkins,G,DET,13.3,165.04,169,157,,,2
153,Zaccharie Risacher,F,DAL,13.1,166.01,167,164,188,9.7,2
154,Aday Mara,C,OKC,13.0,166.42,175,149,269,3.7,2
155,Isaiah Stewart,"F,C",MEM,12.9,166.92,159,183,266,3.9,2
156,Jared McCain,G,OKC,12.8,168.24,192,120,195,9.1,2
157,Bennedict Mathurin,"G,F",NOP,12.7,168.61,163,180,120,17.2,2
158,Aaron Nesmith,"G,F",IND,12.6,169.55,158,193,173,11.1,2
159,Jaylon Tyson,"G,F",CLE,12.5,170.29,166,179,193,9.3,2
160,Aaron Gordon,"F,C",DEN,12.4,170.97,168,177,99,20.4,2
161,Joan Beringer,"F,C",MIN,12.3,171.01,172,169,172,11.2,2
162,Wendell Carter Jr.,C,ORL,12.2,171.06,144,226,152,13.3,2
163,Daniel Gafford,C,DAL,12.1,172.68,174,170,133,15.5,2
164,Christian Anderson Jr.,G,CHA,12.0,172.76,182,154,229,6.4,2
165,Malik Monk,G,SAC,11.9,174.71,179,166,119,17.4,2
166,Ryan Kalkbrenner,C,CHA,11.8,174.94,136,254,315,1.1,2
167,Ty Jerome,G,MEM,11.7,175.01,176,173,148,13.7,2
168,Isaiah Collier,G,UTA,11.6,175.47,189,148,100,20.3,2
169,Payton Pritchard,G,BOS,11.5,175.48,124,280,97,20.8,2
170,Terrence Shannon Jr.,"G,F",MIN,11.4,175.69,178,171,283,2.9,2
171,Joshua Jefferson,F,BKN,11.3,176.07,183,162,,,2
172,Ebuka Okorie,G,DET,11.2,176.38,181,167,,,2
173,John Collins,"F,C",DET,11.1,177.08,185,161,101,20.1,2
174,Jarace Walker,F,IND,11.0,177.73,184,165,316,1.1,2
175,Damian Lillard,G,POR,10.9,178.59,171,194,129,16.0,2
176,Jonathan Kuminga,F,MIN,10.8,180.66,180,182,158,12.6,2
177,Andrew Wiggins,"G,F",MIA,10.7,184.28,146,262,92,21.7,2
178,Carter Bryant,F,SAS,10.6,185.48,200,156,,,2
179,Bub Carrington,G,WAS,10.5,186.07,193,172,151,13.4,2
180,Kyle Filipowski,"F,C",UTA,10.4,186.67,187,186,145,14.0,2
181,Labaron Philon Jr.,G,PHI,10.3,187.02,222,116,240,5.6,2
182,Noah Clowney,"F,C",BKN,10.2,187.43,197,168,268,3.8,2
183,Jakob Poeltl,C,TOR,10.2,189.15,138,293,87,22.6,2
184,Cameron Carr,G,LAL,10.1,189.61,217,134,,,2
185,Will Riley,F,WAS,10.0,192.35,194,189,310,1.4,2
186,Grayson Allen,"G,F",CHA,9.9,193.5,177,227,170,11.4,2
187,Jordan Poole,G,NOP,9.8,196.6,190,210,96,21.0,2
188,Nique Clifford,"G,F",SAC,9.7,197.65,196,201,254,4.7,2
189,Oso Ighodaro,C,PHX,9.6,197.67,198,197,319,0.9,2
190,Toumani Camara,F,POR,9.5,205.14,120,378,130,15.9,2
191,Karim Lopez,F,MEM,9.4,205.88,227,163,236,5.9,2
192,Collin Sexton,G,LAL,9.4,207.58,199,225,134,15.4,2
193,Donte DiVincenzo,"G,F",MIN,9.3,211.63,208,219,180,10.4,2
194,Jayden Quaintance,F,SAS,9.2,214.8,228,188,,,2
195,Collin Gillespie,G,PHX,9.1,217.93,145,366,301,1.9,2
196,Dylan Cardwell,"F,C",SAC,9.0,220.66,220,222,,,2
197,Jaylin Williams,"F,C",OKC,8.9,221.81,203,260,247,5.2,2
198,Gui Santos,F,GSW,8.8,221.99,188,291,,,2
199,Tobias Harris,F,SAS,8.8,222.92,215,239,138,14.9,2
200,Richie Saunders,G,MEM,8.7,232.21,253,190,,,2
201,Hugo González,"G,F",BOS,8.6,237.99,237,240,,,2
