reason,player,hkb_rank,best_rank
"on authority, unranked by all sources",Carson Seymour,,
"on authority, unranked by all sources",Lyon Richardson,,
"on authority, unranked by all sources",Nate Eaton,,
"on authority, unranked by all sources",Matt Gage,,
"on authority, unranked by all sources",Austin Hedges,,
"on authority, unranked by all sources",DJ LeMahieu,,
"on authority, unranked by all sources",Pierson Ohl,,
"on authority, unranked by all sources",Matt Mervis,,
"on authority, unranked by all sources",Dan Altavilla,,
"on authority, unranked by all sources",Jake Woodford,,
"on authority, unranked by all sources",Matt Sauer,,
"on authority, unranked by all sources",Bryce Teodosio,,
"on authority, unranked by all sources",Rob Zastryzny,,
"on authority, unranked by all sources",Justin Hagenman,,
"on authority, unranked by all sources",Ryan Brasier,,
"on authority, unranked by all sources",Brandon Waddell,,
"on authority, unranked by all sources",Alex Jackson,,
"on authority, unranked by all sources",Grant Holman,,
"on authority, unranked by all sources",Jesus Tinoco,,
"on authority, unranked by all sources",Paxton Schultz,,
"on authority, unranked by all sources",Joshua Palacios,,
"on authority, unranked by all sources",Anthony Veneziano,,
"on authority, unranked by all sources",Travis Adams,,
"on authority, unranked by all sources",Joel Payamps,,
"on authority, unranked by all sources",Braxton Fulford,,
"on authority, unranked by all sources",Alek Jacob,,
"on authority, unranked by all sources",Carson Fulmer,,
"on authority, unranked by all sources",Chris Taylor,,
"on authority, unranked by all sources",Jon Berti,,
"on authority, unranked by all sources",Evan Sisk,,
"on authority, unranked by all sources",Bryce Johnson,,
"on authority, unranked by all sources",Easton Lucas,,
"on authority, unranked by all sources",Bryse Wilson,,
"on authority, unranked by all sources",Anthony Molina,,
"on authority, unranked by all sources",Corbin Martin,,
"on authority, unranked by all sources",Michael Tonkin,,
"on authority, unranked by all sources",Thomas Hatch,,
"on authority, unranked by all sources",J.C. Escarra,,
"on authority, unranked by all sources",Willie MacIver,,
"on authority, unranked by all sources",Tyler Wade,,
"on authority, unranked by all sources",Martin Maldonado,,
"on authority, unranked by all sources",Nick Sandlin,,
"on authority, unranked by all sources",Taylor Rashi,,
"on authority, unranked by all sources",Hunter Strickland,,
"on authority, unranked by all sources",Emmanuel Rivera,,
